timestamp,open,high,low,close,volume
2021-01-01 00:00:00+00:00,29000.0,29123.16,28891.35,29092.87,20.3667
2021-01-01 01:00:00+00:00,29092.87,29130.4,28774.55,28796.19,60.7476
2021-01-01 02:00:00+00:00,28796.19,29045.6,28783.83,29017.46,74.8936
2021-01-01 03:00:00+00:00,29017.46,29352.3,28959.7,29296.07,15.2964
2021-01-01 04:00:00+00:00,29296.07,29376.14,28674.63,28734.34,63.807
2021-01-01 05:00:00+00:00,28734.34,28760.58,28309.19,28366.85,83.4311
2021-01-01 06:00:00+00:00,28366.85,28444.98,28317.3,28407.4,16.0775
2021-01-01 07:00:00+00:00,28407.4,28513.12,28209.25,28321.95,56.1019
2021-01-01 08:00:00+00:00,28321.95,28327.45,28266.35,28321.44,33.2701
2021-01-01 09:00:00+00:00,28321.44,28373.64,28031.39,28085.09,69.6632
2021-01-01 10:00:00+00:00,28085.09,28418.06,28037.7,28337.41,20.681
2021-01-01 11:00:00+00:00,28337.41,28580.14,28329.83,28562.95,94.3346
2021-01-01 12:00:00+00:00,28562.95,28591.53,28495.21,28586.11,90.5256
2021-01-01 13:00:00+00:00,28586.11,28930.49,28560.04,28914.5,26.7377
2021-01-01 14:00:00+00:00,28914.5,29161.14,28840.76,29054.36,39.0939
2021-01-01 15:00:00+00:00,29054.36,29055.43,28804.23,28810.08,62.8871
2021-01-01 16:00:00+00:00,28810.08,28942.64,28696.99,28920.86,74.6256
2021-01-01 17:00:00+00:00,28920.86,28924.47,28595.41,28649.16,49.839
2021-01-01 18:00:00+00:00,28649.16,28919.07,28546.4,28906.27,24.0662
2021-01-01 19:00:00+00:00,28906.27,28977.98,28841.21,28896.18,19.3736
2021-01-01 20:00:00+00:00,28896.18,28924.11,28840.18,28847.14,99.9789
2021-01-01 21:00:00+00:00,28847.14,28912.82,28561.43,28655.67,50.9817
2021-01-01 22:00:00+00:00,28655.67,29081.0,28581.38,29012.5,88.5279
